"trait","subID","round","trialTotal","trialRun","valence","cluster.x","propT","selfResp","cueType","desirability","category","interpersonal","observability","prevalence","clusterName","cluster.y","outDegree","inDegree","between","eigen.vector","close","efficiency","transitivity","pageRank","Idx","aveCueF","aveCueTF","aveSD","sumCueF","choiceCueF","propCueF","SV_F","valEstF","Sim"
"Cooperative",127,1,40,40,2,4,2,5,5,6.562,1.622,5.722,5.211,5.474,"Respectful",2,48,14,177.267727513521,0.283933029698234,0.004149377593361,0.679964539007092,0.27392913802221,0.00396664593901097,22,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.223069893865264,0.493160624435744,0.215200723912207
"Self-centered",127,1,41,41,1,1,2,2,2,3,3.733,4.25,5.111,5,"Rude",3,52,19,409.478800820781,0.299935854445569,0.00425531914893617,0.664278531925591,0.239034205231388,0.00720743052475093,247,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.143563167843688,0.251321485585625,0.146339617743959
"Obnoxious",127,1,42,42,1,1,2,4,2,2.476,3.467,4.5,5.444,4.3,"Rude",3,27,58,586.08836504678,0.792138223960241,0.00452488687782805,0.718898385565052,0.221848739495798,0.0168567786508037,233,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.162818121377107,0.234993747023317,0.167746394267369
"Unforgiving",127,1,43,43,1,1,2,3,2,2.714,3.933,4.938,4.333,4,"Rude",3,15,22,68.9044159639682,0.385863614677051,0.00383141762452107,0.726984126984127,0.345345345345345,0.00648941484594152,271,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,NA,NA,NA
"Reckless",127,1,44,44,1,1,2,6,2,3,3.667,3.875,5.667,3.7,"Rude",3,35,18,182.697122170204,0.266365996010058,0.00408163265306122,0.688795518207283,0.296806966618287,0.00460318855657695,239,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.151561869656592,0.256295971015197,0.155408247481435
"Self-conscious",127,1,45,45,1,3,3,7,3,3.524,3.733,4.062,5.111,4.2,"Thoughtless",1,23,26,185.042835162751,0.320104087007979,0.00393700787401575,0.697628458498024,0.260204081632653,0.00706633411113231,248,0.616363636363636,400.404488579231,0.0714524635366377,6.78,11,0.44,0.127875475093383,0.269867745003463,0.125422489901322
"Cordial",127,1,46,46,2,4,2,4,5,5.938,1.853,5.778,5.211,4.684,"Respectful",2,17,26,123.441046102342,0.496646332568112,0.00387596899224806,0.751225490196078,0.292358803986711,0.00773738318444951,23,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.197337870868501,0.443453700512431,0.19200751814414
"Friendly",127,1,47,47,2,4,2,6,5,6.562,1.944,6.167,5.684,5.526,"Respectful",2,54,20,337.523336288513,0.368501838393266,0.00434782608695652,0.67912881434894,0.253239540910774,0.00590658218413648,46,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.234928314403465,0.500535513707131,0.229477867563877
"Hospitable",127,1,48,48,2,4,2,5,5,6,1.766,5.444,5.263,5.158,"Respectful",2,12,35,89.4934410710167,0.698002012053014,0.00395256916996047,0.707070707070707,0.324699352451434,0.0119851319651691,61,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.214540799148209,0.457501184121607,0.207117177307061
"Considerate",127,1,49,49,2,4,2,6,5,6.25,1.629,6.111,5.632,5.158,"Respectful",2,29,31,180.79820124304,0.638310971542253,0.004,0.770935960591133,0.26271186440678,0.00820050334479712,19,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.227529190051583,0.479081972269015,0.220852253137949
"Loud-mouthed",127,1,50,50,1,1,2,3,2,3.143,3.533,4.375,6.5,4.05,"Rude",3,31,11,124.503862737557,0.140179092746822,0.00389105058365759,0.708960573476702,0.313588850174216,0.00386307962691721,218,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.1426095955231,0.258452253817983,0.140900375190155
"Respectable",127,1,51,51,2,5,3,7,6,6.188,1.131,5.333,5.316,4.842,"Thoughtful",3,46,26,351.264244315982,0.521046148294945,0.00427350427350427,0.679549114331723,0.238262910798122,0.00686955385707386,109,0.664210526315789,389.308596372847,0.0862371271858192,12.62,19,0.475,0.209950486605274,0.46480078972534,0.198960507137851
"Well-spoken",127,1,52,52,2,5,3,4,6,5.75,2.304,5.611,5.947,4.579,"Thoughtful",3,18,19,161.246590619284,0.299631450616996,0.00381679389312977,0.696078431372549,0.258258258258258,0.00591019776448332,146,0.664210526315789,389.308596372847,0.0862371271858192,12.62,19,0.475,0.13517287003121,0.394638191262846,0.129611751149882
"Rough",127,1,53,53,1,1,2,5,2,3,3.933,4.688,5.167,3.35,"Rude",3,29,21,141.924426822384,0.358542038542119,0.00392156862745098,0.707307060755337,0.260408163265306,0.00569821632278072,242,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.143282312168412,0.251146818183696,0.146233471848547
"Annoying",127,1,54,54,1,1,2,6,2,2.476,3.667,4.625,6.222,4.65,"Rude",3,18,63,447.065321264639,1,0.00444444444444444,0.62962962962963,0.237345679012346,0.0182113972976436,155,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.159559016673558,0.232966872007787,0.16402906576482
"Ethical",127,1,55,55,2,4,2,4,5,5.875,1.693,4.889,4.684,5.158,"Respectful",2,25,38,279.109641266398,0.68980518522469,0.00411522633744856,0.680833333333333,0.248847926267281,0.0113338164982616,37,0.505128205128205,355.730140130957,0.0941687118357203,19.7,39,0.709090909090909,0.204855314767754,0.444726090449263,0.196248083671752
"Unobservant",127,1,56,56,1,2,1,1,1,2.381,3.6,3.625,4.944,3.7,"Short-sighted",2,25,24,253.270784418753,0.321663933214646,0.00393700787401575,0.726111111111111,0.247448979591837,0.0072103975390109,279,0.365,274.436090225564,0.0729383301152419,5.84,16,0.457142857142857,0.11557497305921,0.200481485403555,0.123953826091061
"Troublesome",127,1,57,57,1,1,2,3,2,2.619,3.733,4.25,5.444,3.8,"Rude",3,28,34,282.870053122817,0.481237270245008,0.00413223140495868,0.655643738977072,0.241671073506081,0.00875493594702821,262,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.147214318582843,0.233013367004893,0.153367338606243
"Sarcastic",127,1,58,58,1,1,2,2,2,3.81,3.533,4.562,5.333,4.15,"Rude",3,12,11,54.9475836829268,0.177931156442936,0.0036101083032491,0.700757575757576,0.292490118577075,0.00440989556939632,245,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.0973249522199521,0.26631563232824,0.100868042014534
"Fun",127,1,59,59,2,6,1,7,4,6.25,1.251,4.389,5,5.158,"Outgoing",4,23,17,195.078310557685,0.273068608171313,0.00371747211895911,0.664361001317523,0.206410256410256,0.00778522306470436,47,0.36,314.031885282348,0.0642910050732864,4.68,13,0.382352941176471,0.165282444819757,0.440369999446822,0.167039084331056
"Theatrical",127,1,60,60,1,1,2,1,2,4.048,3.133,4.75,5.667,3.5,"Rude",3,17,12,55.6926286712813,0.202402900567982,0.00371747211895911,0.602941176470588,0.285714285714286,0.00461960440606493,259,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.117260390197371,0.291568718080009,0.121400971221624
"Inconsiderate",127,1,61,61,1,1,2,2,2,2.25,3.867,4.562,5.389,4.35,"Rude",3,34,49,404.839880242575,0.70608156411966,0.00440528634361234,0.718360071301248,0.233617396414928,0.0120034767093586,205,0.4975,276.084919818975,0.100963104088062,15.92,32,0.450704225352113,0.156909699653113,0.219112376916072,0.161467580398067
